"Deployment.id","Setup.date","Pickup.date","First.behaviour.start","Last.behaviour.end","Days.deployed","Days.observed","N.observations","Puma.name","Lat","Long","Carcass.species","Carcass.age.sex","Cam.id","Setup.crew","General.location","Comments"
"7M_8Aug18","2018-08-08","2018-09-04","2018-08-08 12:11:44","2018-08-29 22:19:42",27,21.4221990740741,2370,"7M",41.57119,-121.65154,"Mule deer","Adult/Buck","57 (Box 59)","JK, BC","Little Mount Hoffman ","No sign of 7M on approach"
"7M_9Oct18","2018-10-09","2018-12-20","2018-10-09 13:20:39","2018-10-28 22:08:26",72,19.3665162037037,343,"7M",41.552,-121.816,"Mule Deer","Adult/Female","55","EW, JH","Typhoon Mesa",""
"8F_14Dec18","2018-12-14","2019-01-09","2018-12-20 10:08:54","2018-12-19 16:28:18",26,-0.736527777777778,1824,"8F",41.61138,-121.82216,"Mule deer","Adult/Doe","60","JH, JK","N Garner Mountain ","Bumped a cat on approach, not sure if 8F or a kitten; 8F heard on receiver from the truck"
"8F_16Jan18","2018-01-16","2018-02-11","2018-01-16 11:24:58","2018-02-08 16:02:16",26,23.1925694444444,248,"8F",41.70723,-122.01733,"Mule Deer","Adult/Doe","58","WB, RL","Mt Hebron","No sign of 8F or kittens when deploying camera."
"8F_19Jan18","2018-01-19","2018-02-10","2018-01-19 10:39:26","2018-02-09 04:47:08",22,20.7553472222222,981,"8F",41.69924,-122.02935,"Mule Deer","Adult/Buck","60","WB, RL","Mt Hebron","No sign of 8F or kittens when deploying camera; Lots of fresh tracks in the snow from them, though, and we picked up a strong VHF signal from her as we parked the truck."
"8F_20Nov18","2018-11-20","2019-07-18","2018-11-20 12:52:48","2018-11-22 00:16:03",240,1.47447916666667,1063,"8F",41.40966,-122.10427,"Mule Deer","Adult/Doe","56","WB, guest","E Mt Shasta","No sign of 8F or kittens, but we heard her beacon when parking truck. Retrieval: prey record no longer in app. Cam was off, veg done at cache pile (full of hair and remaining bones). No scavenger sign discernible. Aspect: 87, slope: 24, CC: 31.25, red Fir, no shrubs/shrub cover, nearest edge: 100m, nearest open: 8m  "
"8F_21Sep18","2018-09-21","2018-10-25","2018-09-21 13:27:15","2018-10-12 17:02:43",33,21.107962962963,802,"8F",41.55665,-121.74346,"Mule Deer","Fawn/Male","56","EW, BC","Red Cap Mt","No sign of 8F"
"8F_22Mar18","2018-03-22","2018-04-14","2018-03-22 16:28:58","2018-04-12 12:04:42",23,20.8581481481481,1907,"8F",41.70523,-121.99333,"Mule Deer","Adult/Doe","59","BC","Mt Hebron","Collared doe"
"8F_25Feb18","2018-02-25","2018-03-19","2018-02-25 09:18:35","2018-03-18 08:12:24",22,20.9540393518519,308,"8F",41.6269,-121.97408,"Mule Deer","Adult/Doe","56","RL, EL","Tennant","No sign of 8F when deploying camera, fresh kitten tracks in snow"
"8F_28Mar18","2018-03-28","2018-04-19","2018-03-28 14:54:42","2018-04-18 13:18:53",22,20.9751273148148,609,"8F",41.71191,-121.94151,"Mule Deer","Adult/Doe","57","RL, BC","Round Valley","No sign of 8F or kittens.  Photos from deployment uploaded"
"8F_29Apr18","2018-04-29","2018-05-22","2018-04-29 14:07:10","2018-05-08 17:33:07",23,9.14302083333333,3220,"8F",41.64806,-121.99086,"Mule Deer","Adult/Buck","55","WB, EL","Orr Lake","Bumped 8F and all 3 kittens upon approach. They were ~10m from the carcass under a large juniper. 8F and two of the kittens ran away when we were ~25m away. The third kitten hid behind a bush until we were ~10m away. We talked softly the whole time."
"8F_29May18","2018-05-29","2018-07-12",NA,NA,44,NA,0,"8F",41.44448,-121.98547,"Mule Deer","Adult/Doe","51","WB, JH","Dry Creek Peak","No sign of 8F and kittens"
"8F_3Sep18","2018-09-03","2018-11-12","2018-09-03 15:31:02","2018-09-25 04:22:26",69,21.5356944444444,1498,"8F",41.5241,-122.08944,"Mule Deer","Adult/Buck","53","JK, JH","Whaleback/Pomeroy Creek","Heard 8F on receiver before approaching, but no visual "
"8F_4Jun18","2018-06-04","2018-07-12",NA,NA,38,NA,0,"8F",41.45667,-122.00901,"Mule Deer","Adult/Doe","55","WB, JK","Ash Creek Butte","Saw 8F run away when we were ~80m away, uphill. No sign of the kittens."
