"Deployment.id","Setup.date","Pickup.date","First.behaviour.start","Last.behaviour.end","Days.deployed","Days.observed","N.observations","Puma.name","Lat","Long","Carcass.species","Carcass.age.sex","Cam.id","Setup.crew","General.location","Comments","Species.richness","N.kittens","Uncollared.puma.present","Bear.present","Bobcat.present","Coyote.present","Puma.present","Total Feeding Time (s) Puma","Total Feeding Time (s) Kitten","Mean Feeding Bout Duration (s) Puma","Mean Feeding Bout Duration (s) Kitten","Std Dev Feeding Bout Duration (s) Puma","Std Dev Feeding Bout Duration (s) Kitten","Total Feeding Time (m)","Kitten alert","Kitten bed/rest","Kitten cache","Kitten defend","Kitten groom","Kitten mark","Kitten play","Puma alert","Puma bed/rest","Puma cache","Puma defend","Puma groom","Puma mark","Puma play","Total Alert Behaviour Counts"
"5M_22Nov17","2017-11-22","2018-01-06","2017-11-22 11:21:57","2017-11-30 01:56:11",45,7.60710648148148,3337,"5M",41.61959,-121.73671,"Mule Deer","Adult/Buck","55","WB, EL","Garner Mt","EL briefly saw 5M run away as we approached, ~50m away from us.",5,0,FALSE,FALSE,FALSE,TRUE,TRUE,4825.675,0,34.7170863309353,0,32.4672252907366,0,80.4279166666667,0,0,0,0,0,0,0,84,3,58,0,8,0,0,84
"5M_24Nov18","2018-11-24","2018-12-17","2018-11-24 16:22:53","2018-11-29 06:25:14",23,4.58496527777778,1586,"5M",41.64673,-121.78484,"Elk","Adult/Cow","51","BC, guest","Wildhorse Mt","No sign of 5M",3,0,FALSE,FALSE,FALSE,FALSE,TRUE,9629.617,0,34.8899166666667,0,38.8035012320506,0,160.493616666667,0,0,0,0,0,0,0,228,86,88,42,12,1,0,228
"5M_26Jul18","2018-07-26","2018-08-21","2018-07-26 20:00:56","2018-07-27 02:38:03",26,0.275775462962963,101,"5M",41.67215,-122.1331,"Elk","Yearling/Bull","58","BC, AB","Little Deer Mt.","Approached from a lava escarpment and saw 5M from ~60 m away. He was in a gully below us at the base of lava escarpments. He was feeding on the elk. Observed him undetected for ~5 mins then slowly started the descent towards the elk. We got close and weren't stealthy, talking, footsteps made noise, but weak wind was blowing from his direction towards us. He still didn't detect us until we got to ~15 m from him. He looked at us for ~4 seconds, low growl then walked fast away in an opposite direction from us and up a vegetated lava escarpment. He didn't stop to look back, continued on, lost visual when he was ~40 m away.  ",3,0,FALSE,FALSE,FALSE,FALSE,TRUE,1021.5,0,42.5625,0,67.4229447140441,0,17.025,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
"5M_3Sep18","2018-09-03","2018-10-14","2018-09-03 10:26:22","2018-09-24 18:57:29",40,21.3549421296296,1214,"5M",41.71865,-122.15408,"Mule Deer","Adult/Doe","54 (Box 57)","JK, JH","Fox Flat ","No sign of 5M on receiver or approach; Kill site found ",10,0,FALSE,FALSE,FALSE,FALSE,TRUE,1964.222,0,57.7712352941176,0,73.383227262489,0,32.7370333333333,0,0,0,0,0,0,0,11,0,8,0,0,0,0,11
"5M_5Sep17","2017-09-05","2017-10-06","2017-09-05 16:27:14","2017-09-26 11:00:16",30,20.7312731481481,2515,"5M",41.64235,-121.60676,"Mule Deer","Adult/Buck","57","WB, EL","Fourmile Hill","Saw 5M upon approach for setup. He was sitting ~10m from carcass and loped away when we were ~20m from him. Scavenger sign notes need to be updated with deployment vs retrieval.",8,0,FALSE,FALSE,FALSE,TRUE,TRUE,5857.014,0,39.04676,0,46.8957060285392,0,97.6169,0,0,0,0,0,0,0,107,24,98,0,2,1,0,107
"7M_10May18","2018-05-10","2018-06-05",NA,NA,26,NA,0,"7M",41.49767,-121.83801,"Mule Deer","Adult/Doe","52","WB, EW","Asperin Butte","No sign of 7M when deploying camera.",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7M_15Feb18","2018-02-15","2018-03-21","2018-02-15 15:12:39","2018-02-25 17:10:25",34,10.0817824074074,964,"7M",41.62547,-121.84671,"Mule Deer","Adult/Doe","","BC, RL","Garner Butte","No sign of 7M when setting camera",11,0,FALSE,FALSE,FALSE,TRUE,TRUE,5338.544,0,42.708352,0,44.8841756348881,0,88.9757333333333,0,0,0,0,0,0,0,69,2,10,0,14,0,0,69
"7M_15Jan18","2018-01-15","2018-02-08","2018-01-15 15:30:56","2018-01-29 09:35:57",24,13.7534837962963,271,"7M",41.6522,-121.69286,"Mule Deer","Adult/Buck","57","BC, guest","East of Hill 23","No sign of 7M upon approach. Carcass secured with Python lock",5,0,FALSE,FALSE,TRUE,TRUE,TRUE,314.169,0,26.18075,0,22.3207698267576,0,5.23615,0,0,0,0,0,0,0,20,1,5,0,3,0,0,20
"7M_1Feb18","2018-02-01","2018-03-29","2018-02-01 11:23:55","2018-02-18 15:15:05",56,17.1605324074074,49,"7M",41.64445,-121.79482,"Mule Deer","Adult/Doe","57","RL, EL","North of Gardiner Mtn.","No sign of 7M when setting camera",7,0,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,4
"7M_22Jan18","2018-01-22","2018-02-15","2018-01-22 11:11:24","2018-02-02 19:31:28",24,11.3472685185185,233,"7M",41.65615,-121.69997,"Mule Deer","Adult/Buck","52","RL, EL","Four Corners","No sign of 7M when setting camera, used camera stake",4,0,FALSE,FALSE,FALSE,TRUE,TRUE,1115.33,0,31.8665714285714,0,36.1413150858467,0,18.5888333333333,0,0,0,0,0,0,0,25,32,1,0,19,0,0,25
